ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Mori,Mori,,-2.56016,121.37,mori1268,,,Mori Bawah
Mortlockese,Mortlockese,,5.50735,153.710778,mort1237,,xd825,Mortlockese
Mota,Mota,,-13.835361,167.690924,mota1237,,xd862,Mota
Motu,Motu,,-9.67492,147.424,motu1246,,xd786,Motu
Mouk,Mouk,,-5.71155,149.158,mouk1239,,,Mouk-Aria
MunaKatobuTongkuno_D,MunaKatobuTongkuno_D,,-5.40419,122.541,muna1247,,,Muna
MurnatenAlune,MurnatenAlune,,-3.11477,128.394,alun1238,,,Alune
Mussau,Mussau,,-1.44105,149.624,muss1246,,,Mussau-Emira
Mwotlap,Mwotlap,,-13.655015,167.706277,motl1237,,,Mwotlap
Nahavaq,Nahavaq,,-16.5116,167.477,sout2857,,xd868,Nahavaq
NakanaiBileki_D,NakanaiBileki_D,,-5.59931,150.888,naka1262,,,Nakanai
Nalik,Nalik,,-2.94411,151.332,nali1244,,,Nalik
Namakir,Namakir,,-16.8979,168.569,nama1268,,,Namakura
Naman,Naman,,-16.1331,167.415,litz1237,,,Naman
Nanggu,Nanggu,,-10.7441,165.887,nang1262,,,Nanggu
Nati,Nati,,-16.468709,167.496054,nati1244,,,Nati
Nauna,Nauna,,-2.21213,148.201,naun1237,,,Nauna
NehanHape,NehanHape,,-4.56875,154.2,neha1247,,,Nehan
Nelemwa,Nelemwa,,-20.4035,164.193,kuma1276,,,Nêlêmwa-Nixumwak
Nembao,Nembao,,-11.2958,166.498,amba1266,,,Amba (Solomon Islands)
Nengone,Nengone,,-21.5305,167.964,neng1238,,,Nengone
Nese,Nese,,-15.952608,167.222769,nese1235,,,Nese
Neveei,Neveei,,-16.2253,167.427,vinm1237,,,Neve'ei
Ngadha,Ngadha,,-8.79508,120.976,ngad1261,,,Ngad'a
NgaiborSAru,NgaiborSAru,,-6.62046,134.168,west2538,,,West Tarangan
Nggela,Nggela,,-9.04587,160.186,gela1263,,,Gela
Nguna,Nguna,,-17.5774,168.375,nort2836,,,North Efate
Nias,Nias,,0.90691,97.4961,nias1242,,,Nias
Nila,Nila,,-6.734956,129.512131,nila1244,,,Nila
Nissan,Nissan,,-4.56875,154.2,neha1247,,,Nehan
Niue,Niue,,-19.06,-169.86,niue1239,,xd888,Niuean
NorthBabar,NorthBabar,,-7.84311,129.743,nort2860,,,North Babar
Nukuoro,Nukuoro,,3.84,154.975,nuku1260,,,Nukuoro
NumbamiSiboma,NumbamiSiboma,,-7.52806,147.298,numb1247,,,Numbami
Numfor,Numfor,,-0.9523,135.879,biak1248,,,Biak
Ogan,Ogan,,-3.79673,103.137,cent2053,,,South Barisan Malay
OldChinese,OldChinese,,36.12,114.32,oldc1244,,,Old Chinese
OldJavanese,OldJavanese,,-7.001,109.287,java1254,,,Javanese
Orkon,Orkon,,-16.210501,168.212109,orko1234,,,Orkon-Fanbak
PaameseSouth,PaameseSouth,,-16.47548,168.23693,paam1238,,,Paama
Paiwan,Paiwan,,22.3271,120.806,paiw1248,,xd746,Paiwan
Palauan,Palauan,,7.34138,134.476678,pala1344,,xd824,Palauan
PalawanBatak,PalawanBatak,,10.1115,119.025,bata1301,,xd900,Batak
Pangasinan,Pangasinan,,15.9377,120.365,pang1290,,,Pangasinan
Patpatar,Patpatar,,-3.74711,152.493,patp1243,,,Patpatar
Paulohi,Paulohi,,-3.25404,128.779,paul1238,,,Paulohi
Pazeh,Pazeh,,23.7562,120.976,kulo1237,,,Pazeh-Kahabu
Penrhyn,Penrhyn,,-9.082238,-157.922908,penr1237,,xd890,Māngarongaro
Perai,Perai,,-7.62349,126.576,pera1257,,,Perai
PeteraraMaewo,PeteraraMaewo,,,,pete1237,,,Peterara
PhanRangChamEasternCham,PhanRangChamEasternCham,,11.2853,108.49,east2563,,xd718,Eastern Cham
Ponapean,Ponapean,,6.87212,158.223,pohn1238,,xd836,Pohnpeian
Pondok,Pondok,,-9.63425,119.605,anak1240,,,Anakalang
Popalia,Popalia,,-5.7478,123.948,tuka1249,,,Tukang Besi South
PuloAnnan,PuloAnnan,,5.328596,132.221282,sons1242,,,Sonsorol
Puluwatese,Puluwatese,,7.35695,149.2005,pulu1242,,,Puluwatese
PunanKelai,PunanKelai,,1.97695,116.954,sega1243,,xd1442,Segai
Puyuma,Puyuma,,22.643,120.996,puyu1239,,xd734,Puyuma
Raga,Raga,,-15.5432,168.167,hano1246,,,Hano
RapanuiEasterIsland,RapanuiEasterIsland,,-27.113,-109.342,rapa1244,,xd898,Rapanui
Rarotongan,Rarotongan,,-21.23,-159.78,raro1241,,xd889,Southern Cook Island Maori
RejangRejang,RejangRejang,,-3.33056,102.434,reja1240,,,Rejang
Rennellese,Rennellese,,,,mung1271,,xd877,Munggava
Ririo,Ririo,,-6.88927,156.92,riri1237,,,Ririo
RotiTermanu_D,RotiTermanu_D,,-10.7326,123.169,term1237,,xd766,Termanu
Rotuman,Rotuman,,-12.5008,177.066,rotu1241,,xd872,Rotuman
Roviana,Roviana,,-8.20493,157.408,rovi1238,,,Roviana
Rukai,Rukai,,22.7738,120.844,ruka1240,,,Rukai
Rurutuan,Rurutuan,,,,ruru1237,,,Rurutu
Saa,Saa,,-9.60258,161.467,saaa1240,,xd858,Sa'a
Saaroa,Saaroa,,23.2632,120.711,saar1237,,,Saaroa
SaipanCarolinian,SaipanCarolinian,,15.205,145.765,caro1242,,xd830,Carolinian
Saisiat,Saisiat,,24.6043,121.067,sais1237,,,Saisiyat
SakaoPortOlry,SakaoPortOlry,,-15.0757,167.051,saka1289,,,Wanohe
Saliba,Saliba,,-10.6148,150.727,sali1295,,,Saliba
SamalSiasi_D,SamalSiasi_D,,7.004574,118.455978,cent2092,,,Central Sama
SambalBotolan,SambalBotolan,,15.2315,120.164,boto1242,,xd904,Botolan Sambal
Samoan,Samoan,,-13.92,-171.83,samo1305,,xd876 xd880,Samoan
SangilSaraganiIslands,SangilSaraganiIslands,,5.40229,125.378,sang1337,,,Sangil
Sangir,Sangir,,3.50554,125.56523,sang1336,,,Sangir
SangirTabukang_D,SangirTabukang_D,,3.50554,125.56523,sang1336,,,Sangir
SantaAna,SantaAna,,-10.82553,162.30467,owaa1237,,,Owa
SaranganiBlaan,SaranganiBlaan,,6.03691,125.354,sara1326,,,Sarangani Blaan
Sasak,Sasak,,-8.58349,116.284,sasa1249,,,Sasak
Satawalese,Satawalese,,7.36084,147.038,sata1237,,,Satawalese
Savu,Savu,,-10.5522,121.847,sabu1255,,,Hawu
Sediq,Sediq,,23.9032,121.358,taro1264,,,Seediq
Seimat,Seimat,,-1.2666667,144.25,seim1238,,,Seimat
Sekar,Sekar,,-2.65849,132.469,seka1247,,,Sekar
Selaru,Selaru,,-8.18376,130.961,sela1259,,xd768,Selaru
Sengseng,Sengseng,,-6.16474,149.784,seng1281,,,Sengseng
Serili,Serili,,-8.11241,129.901,seri1255,,,Serili
Serua,Serua,,-6.31107,130.017294,seru1245,,,Serua
Siar,Siar,,-4.62059,152.892,siar1238,,,Siar-Lak
Sika,Sika,,-8.67302,122.38,sika1262,,,Sika
Sikaiana,Sikaiana,,-8.37701,162.72522,sika1261,,,Sikaiana
Simbo,Simbo,,-8.26947,156.541,simb1256,,xd860,Simbo
Singhi,Singhi,,1.54467,109.985,baub1235,,,Bau-Jagoi Bidayuh
Siraya,Siraya,,22.9777,120.315,sira1267,,,Sirayaic
Sisingga,Sisingga,,-7.22281,157.149,baba1268,,,Babatana
Soa,Soa,,-8.6778,121.04764,cent2074,,,Central Ngada
Soboyo,Soboyo,,-1.79516,124.869,tali1262,,,Taliabu
SouthEastBabar,SouthEastBabar,,-7.94359,129.8,sout2883,,,Southeast Babar
SouthEfate,SouthEfate,,-17.7006,168.377,sout2856,,,Nafsan
SquliqAtayal,SquliqAtayal,,24.5209,121.388,atay1247,,,Atayal
Suau,Suau,,-10.6606,150.21,suau1242,,xd846,Suau
SubanonSiocon,SubanonSiocon,,7.79964,122.341,west2557,,,Western Subanon
SubanunSindangan,SubanunSindangan,,8.12701,123.018,cent2089,,xd744,Central Subanen
Sunda,Sunda,,-6.89708,107.106,sund1252,,,Sundanese
